masv,diem10%.1,diem10%.2,diem20%,diemthi
b1,9,7,6,6
b2,9,7,6,6
b3,10,9,7,7.25
b4,9,7,6,6
b5,10,8,7,7.5
b6,9,7,6.5,6.5
b7,0,0,0,
b8,10,8,6,7.25
b9,10,8,8,8
b10,10,8,7.5,8.75
b11,9,7,6,5.5
b12,9,7,6,6
b13,10,8,7,7.5
b14,0,0,0,
b15,10,8,7,7
b16,10,8,6,7.5
b17,10,9,7,7.25
b18,6,5,5,5
b19,9,7,6,6
b20,10,9,7,6.5
b21,9,7,6,6
b22,9,7,6,3.5
b23,10,8,7,8
b24,9,6,6,6.5
b25,10,7,6,6
b26,10,7,6,7
b27,10,6,6,6
b28,10,7,6,7
b29,10,8,6.5,7.5
b30,9,8,6,5.5
b30,9,7,6,6.5
b31,10,7,6,6
b32,9,7,6,5.5
b34,9,7,6,4.5
b35,9,7,6,
b36,0,0,0,
b37,10,9,7,7.5
b38,10,8,7,7
b39,10,8,7.5,7.25
b40,0,0,0,
b41,9,7,6,6.5
b42,0,0,0,
b43,10,8,7,7.25
b44,10,8,7,7.25
b45,10,7,6,6
b46,10,8,7.5,7
b47,0,0,0,
b48,10,8,7,7
b49,9,7,6,6
b50,7,6,5,5
b51,9,7,6,6
b52,9,7,6,5.5
b53,10,8,7,6.75
b54,10,8,6,7
b1,9,7,6,6
b2,9,7,6,6
b3,10,9,7,7.25
b4,9,7,6,6
b5,10,8,7,7.5
b6,9,7,6.5,6.5
b7,0,0,0,
b8,10,8,6,7.25
b9,10,8,8,8
b10,10,8,7.5,8.75
b11,9,7,6,5.5
b12,9,7,6,6
b13,10,8,7,7.5
b14,0,0,0,
b15,10,8,7,7
b16,10,8,6,7.5
b17,10,9,7,7.25
b18,6,5,5,5
b19,9,7,6,6
b20,10,9,7,6.5
b21,9,7,6,6
b22,9,7,6,3.5
b23,10,8,7,8
b24,9,6,6,6.5
b25,10,7,6,6
b26,10,7,6,7
b27,10,6,6,6
b28,10,7,6,7
b29,10,8,6.5,7.5
b30,9,8,6,5.5
b30,9,7,6,6.5
b31,10,7,6,6
b32,9,7,6,5.5
b34,9,7,6,4.5
b35,9,7,6,
b36,0,0,0,
b37,10,9,7,7.5
b38,10,8,7,7
b39,10,8,7.5,7.25
b40,0,0,0,
b41,9,7,6,6.5
b42,0,0,0,
b43,10,8,7,7.25
b44,10,8,7,7.25
b45,10,7,6,6
b46,10,8,7.5,7
b47,0,0,0,
b48,10,8,7,7
b49,9,7,6,6
b50,7,6,5,5
b51,9,7,6,6
b52,9,7,6,5.5
b53,10,8,7,6.75
b54,10,8,6,7
a1,9,7,6,6
a2,9,7,6,5.5
a3,10,8,7,6.75
a4,10,8,6,7
a5,9,7,6,6
a6,10,8,7,6.5
a7,9,7,6,6
a8,9,7,6,5
a9,10,7,6,7
a10,9,7,6,5.5
a11,9,7,6,6
a12,9,7,6,4.5
