User,Comment,Topic,Timestamp
user_1,This is a comment about laptops,smartphone,2021-02-06 03:12:02
user_1,This is a comment about laptops,shoes,2020-04-09 13:55:07
user_1,This is a comment about books,shoes,2022-01-11 17:51:09
user_1,This is a comment about shoes,laptops,2023-02-22 02:30:11
user_1,This is a comment about books,clothes,2020-04-26 06:43:32
user_1,This is a comment about shoes,books,2022-03-27 08:50:14
user_1,This is a comment about laptops,books,2022-05-07 12:10:07
user_1,This is a comment about smartphone,books,2023-01-15 06:00:08
user_1,This is a comment about smartphone,laptops,2022-11-04 06:50:26
user_1,This is a comment about books,laptops,2021-08-20 21:28:16
user_1,This is a comment about books,books,2023-05-26 17:19:54
user_1,This is a comment about shoes,clothes,2022-11-25 09:09:37
user_1,This is a comment about books,smartphone,2023-02-21 02:09:44
user_1,This is a comment about shoes,shoes,2020-11-14 14:52:14
user_1,This is a comment about smartphone,shoes,2022-05-19 23:35:26
user_1,This is a comment about books,smartphone,2022-07-12 19:13:23
user_1,This is a comment about smartphone,shoes,2020-04-27 12:13:11
user_1,This is a comment about clothes,books,2020-10-06 02:30:48
user_1,This is a comment about clothes,smartphone,2020-05-23 17:48:38
user_1,This is a comment about laptops,shoes,2023-06-26 07:19:42
user_1,This is a comment about shoes,books,2020-01-17 03:21:23
user_1,This is a comment about smartphone,clothes,2021-05-17 07:13:23
user_1,This is a comment about laptops,smartphone,2022-09-24 17:41:30
user_1,This is a comment about clothes,smartphone,2022-06-13 07:11:20
user_1,This is a comment about clothes,laptops,2020-08-23 03:43:45
user_1,This is a comment about shoes,smartphone,2023-08-14 07:05:17
user_1,This is a comment about clothes,books,2020-04-18 18:38:50
user_1,This is a comment about books,shoes,2023-09-20 05:39:32
user_1,This is a comment about books,laptops,2020-01-13 06:58:30
user_1,This is a comment about shoes,smartphone,2021-06-07 20:10:44
user_1,This is a comment about smartphone,smartphone,2022-12-22 14:43:04
user_1,This is a comment about laptops,smartphone,2020-12-01 13:30:48
user_1,This is a comment about smartphone,laptops,2021-10-16 09:13:18
user_1,This is a comment about smartphone,books,2020-04-14 10:08:16
user_1,This is a comment about books,books,2021-01-27 15:56:11
user_1,This is a comment about clothes,shoes,2021-09-21 19:49:19
user_1,This is a comment about books,laptops,2021-04-20 23:30:46
user_1,This is a comment about shoes,shoes,2020-02-05 23:57:39
user_1,This is a comment about smartphone,books,2023-07-05 04:53:55
user_1,This is a comment about laptops,books,2022-02-17 08:21:25
user_1,This is a comment about laptops,clothes,2023-03-08 04:56:50
user_1,This is a comment about books,books,2020-12-21 18:23:14
user_1,This is a comment about clothes,smartphone,2022-10-17 04:35:25
user_1,This is a comment about shoes,smartphone,2021-11-11 21:00:23
user_1,This is a comment about shoes,shoes,2020-10-19 03:43:29
user_1,This is a comment about clothes,shoes,2020-06-24 15:45:50
user_1,This is a comment about clothes,clothes,2021-08-18 19:42:48
user_1,This is a comment about books,clothes,2023-04-14 22:25:21
user_1,This is a comment about clothes,books,2023-12-03 07:44:06
user_1,This is a comment about books,laptops,2023-02-18 11:27:38
user_2,This is a comment about books,smartphone,2020-01-19 03:28:30
user_2,This is a comment about smartphone,shoes,2022-01-16 00:59:23
user_2,This is a comment about shoes,shoes,2023-05-06 22:20:42
user_2,This is a comment about clothes,clothes,2021-06-28 12:52:56
user_2,This is a comment about laptops,shoes,2022-10-17 18:20:36
user_2,This is a comment about shoes,smartphone,2023-07-11 16:33:29
user_2,This is a comment about smartphone,shoes,2022-02-15 16:33:57
user_2,This is a comment about shoes,smartphone,2021-06-20 02:19:46
user_2,This is a comment about smartphone,books,2022-12-08 07:51:46
user_2,This is a comment about clothes,clothes,2023-07-06 10:56:30
user_2,This is a comment about shoes,shoes,2023-02-15 03:53:09
user_2,This is a comment about laptops,laptops,2020-03-15 01:14:55
user_2,This is a comment about smartphone,shoes,2021-06-19 03:24:12
user_2,This is a comment about shoes,clothes,2020-09-11 06:15:58
user_2,This is a comment about shoes,clothes,2023-11-14 02:51:14
user_2,This is a comment about laptops,laptops,2020-06-14 10:02:36
user_2,This is a comment about clothes,books,2020-10-02 20:29:46
user_2,This is a comment about laptops,smartphone,2022-08-21 11:40:44
user_2,This is a comment about shoes,books,2020-12-10 03:13:38
user_2,This is a comment about smartphone,smartphone,2022-04-09 07:04:29
user_2,This is a comment about shoes,clothes,2022-10-21 23:58:47
user_2,This is a comment about shoes,books,2021-01-08 00:13:41
user_2,This is a comment about smartphone,smartphone,2021-07-11 19:52:34
user_2,This is a comment about clothes,clothes,2020-04-08 09:25:55
user_2,This is a comment about books,clothes,2021-11-02 11:17:06
user_2,This is a comment about shoes,clothes,2023-04-24 16:32:45
