User,Comment,Topic,Timestamp
user_1,Looking forward to using this books!,books,2020-12-10 06:11:51
user_1,Looking forward to using this shoes!,shoes,2020-12-26 13:16:28
user_1,Thinking of buying a smartphone.,smartphone,2022-03-26 10:33:21
user_1,Very satisfied with my laptops.,laptops,2020-01-09 11:12:36
user_1,The books I bought is amazing.,books,2022-12-18 15:30:48
user_1,Not happy with the books.,books,2023-03-08 11:43:21
user_1,Thinking of buying a shoes.,shoes,2023-06-26 01:02:38
user_1,Do you recommend any good clothes?,clothes,2022-10-03 01:43:01
user_1,The quality of this books is not great.,books,2022-10-27 21:03:10
user_1,Very satisfied with my smartphone.,smartphone,2023-07-10 16:01:11
user_1,The quality of this smartphone is not great.,smartphone,2023-08-08 01:29:00
user_1,The quality of this laptops is not great.,laptops,2020-03-10 21:25:25
user_1,Why is this shoes so expensive?,shoes,2022-06-17 15:16:28
user_1,I love my new books!,books,2022-05-06 13:13:01
user_1,Thinking of buying a clothes.,clothes,2020-11-13 23:12:22
user_1,Do you recommend any good shoes?,shoes,2020-02-28 06:42:33
user_1,Very satisfied with my laptops.,laptops,2022-09-03 04:41:43
user_1,The quality of this shoes is not great.,shoes,2020-08-14 09:23:18
user_1,Why is this books so expensive?,books,2021-03-22 16:12:41
user_1,Very satisfied with my clothes.,clothes,2023-09-12 12:14:35
user_1,Why is this shoes so expensive?,shoes,2020-12-20 14:43:09
user_1,I found a great deal on clothes.,clothes,2023-01-07 01:02:53
user_1,Looking forward to using this laptops!,laptops,2022-05-01 13:44:25
user_1,The quality of this laptops is not great.,laptops,2020-05-22 13:36:28
user_1,Why is this clothes so expensive?,clothes,2022-06-11 09:54:43
user_1,I love my new laptops!,laptops,2022-03-16 16:26:56
user_1,The clothes I bought is amazing.,clothes,2020-02-27 22:23:05
user_1,I love my new smartphone!,smartphone,2023-10-18 21:37:40
user_1,Do you recommend any good books?,books,2023-09-05 13:59:52
user_1,Very satisfied with my laptops.,laptops,2020-04-21 05:41:29
user_1,Thinking of buying a clothes.,clothes,2022-10-19 02:04:56
