Id,Điểm 1,Điểm 2,Điểm 3,Điểm 4
1,5.0,1.0,2.0,2.6666666666666665
2,6.0,7.0,0.0,4.333333333333333
3,6.0,5.0,1.0,4.0
4,10.0,3.0,6.0,6.333333333333333
5,9.0,0.0,3.0,4.0
6,4.0,,1.0,
7,10.0,,5.0,
8,4.0,4.0,1.0,3.0
9,0.0,-2.0,5.0,1.0
10,7.0,5.0,6.0,6.0
11,5.0,3.0,2.0,3.3333333333333335
12,0.0,4.0,4.0,2.6666666666666665
13,5.0,6.0,8.0,6.333333333333333
14,0.0,,5.0,
15,1.0,8.0,5.0,4.666666666666667
16,1.0,0.0,7.0,2.6666666666666665
17,10.0,8.0,2.0,6.666666666666667
18,10.0,8.0,10.0,9.333333333333334
19,6.0,10.0,1.0,5.666666666666667
20,10.0,10.0,2.0,7.333333333333333
21,4.0,9.0,5.0,6.0
22,9.0,1.0,2.0,4.0
23,0.0,,3.0,
24,9.0,8.0,2.0,6.333333333333333
25,0.0,6.0,7.0,4.333333333333333
26,10.0,3.0,1.0,4.666666666666667
27,6.0,5.0,,
28,8.0,3.0,0.0,3.6666666666666665
29,,10.0,3.0,
30,1.0,,0.0,
31,2.0,4.0,5.0,3.6666666666666665
32,5.0,5.0,9.0,6.333333333333333
33,2.0,1.0,9.0,4.0
34,3.0,2.0,5.0,3.3333333333333335
35,2.0,1.0,8.0,3.6666666666666665
36,8.0,5.0,-1.0,4.0
37,5.0,0.0,1.0,2.0
38,9.0,5.0,6.0,6.666666666666667
39,0.0,2.0,5.0,2.3333333333333335
40,,3.0,7.0,
41,5.0,10.0,10.0,8.333333333333334
42,1.0,5.0,6.0,4.0
43,7.0,1.0,7.0,5.0
44,5.0,0.0,5.0,3.3333333333333335
45,0.0,5.0,6.0,3.6666666666666665
46,8.0,3.0,10.0,7.0
47,5.0,8.0,5.0,6.0
48,9.0,2.0,2.0,4.333333333333333
49,5.0,7.0,1.0,4.333333333333333
50,9.0,0.0,8.0,5.666666666666667
51,3.0,10.0,7.0,6.666666666666667
52,7.0,2.0,8.0,5.666666666666667
53,3.0,9.0,2.0,4.666666666666667
54,1.0,7.0,5.0,4.333333333333333
55,9.0,6.0,6.0,7.0
56,5.0,5.0,8.0,6.0
57,2.0,1.0,1.0,1.3333333333333333
58,5.0,,5.0,
59,4.0,9.0,6.0,6.333333333333333
60,0.0,,4.0,
61,4.0,6.0,10.0,6.666666666666667
62,9.0,6.0,10.0,8.333333333333334
63,5.0,3.0,7.0,5.0
64,1.0,8.0,0.0,3.0
65,2.0,7.0,7.0,5.333333333333333
66,0.0,7.0,-4.0,1.0
67,8.0,3.0,7.0,6.0
68,9.0,7.0,2.0,6.0
69,5.0,10.0,3.0,6.0
70,3.0,,9.0,
71,6.0,8.0,6.0,6.666666666666667
72,7.0,4.0,8.0,6.333333333333333
73,10.0,5.0,8.0,7.666666666666667
74,-2.0,6.0,8.0,4.0
75,7.0,7.0,7.0,7.0
76,7.0,3.0,4.0,4.666666666666667
77,7.0,3.0,9.0,6.333333333333333
78,6.0,4.0,5.0,5.0
79,9.0,10.0,4.0,7.666666666666667
80,1.0,7.0,4.0,4.0
81,3.0,5.0,1.0,3.0
82,2.0,1.0,6.0,3.0
83,10.0,10.0,4.0,8.0
84,4.0,0.0,2.0,2.0
85,,6.0,,
86,3.0,0.0,5.0,2.6666666666666665
87,3.0,7.0,10.0,6.666666666666667
88,1.0,3.0,7.0,3.6666666666666665
89,0.0,2.0,6.0,2.6666666666666665
90,7.0,2.0,6.0,5.0
91,2.0,8.0,3.0,4.333333333333333
92,-1.0,9.0,3.0,3.6666666666666665
93,0.0,7.0,2.0,3.0
94,3.0,9.0,9.0,7.0
95,0.0,8.0,8.0,5.333333333333333
96,,1.0,1.0,
97,2.0,10.0,7.0,6.333333333333333
98,10.0,9.0,5.0,8.0
99,8.0,7.0,5.0,6.666666666666667
100,2.0,3.0,4.0,3.0
